,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Aruba,15000.0,53000.0,61800.0,69952.0,98389.0,103417.0,109030.0,113586.0,120806.0,128000.0,131800.0,,16.62,57.38,65.33,72.21,99.34,102.40,106.15,108.98,114.48,120.06,122.62,,,,,,,,,,,,,,,,,Servicio di Telecomunicacion di Aruba (SETAR).,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.
Australia,8562000.0,11132000.0,12670000.0,14347000.0,16480000.0,18420000.0,19760000.0,21260000.0,22120000.0,22200000.0,22500000.0,,44.68,57.43,64.63,72.31,81.97,90.28,95.26,100.66,102.82,101.36,101.04,,,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,ACMA.,,ACMA.,,ACMA.,,ACMA.,Includes subscriptions by data cards or USB modems,ACMA,,ACMA,,ACMA
Austria,6117000.0,6541000.0,6736000.0,7274000.0,7992000.0,8665000.0,9281000.0,9912000.0,10816000.0,11434000.0,12241000.0,,76.42,81.37,83.33,89.42,97.64,105.26,112.18,119.28,129.66,136.61,145.84,,,Federal Ministry for Science and Transport.,,Federal Ministry for Science and Transport.,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,September.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,Includes subscribers to public mobile data services.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,Includes subscribers to public mobile data services.,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Rundfunk und Telekom Regulierungs-GmbH
Azerbaijan,420400.0,730000.0,794200.0,1057100.0,1456523.0,2242000.0,3323500.0,4519000.0,6548000.0,7757120.0,9100000.0,,5.18,8.91,9.59,12.62,17.18,26.11,38.19,51.23,73.21,85.56,99.04,,,,,,,,,,,,,,,,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies
Bahamas,31524.0,60555.0,121759.0,122228.0,186007.0,227771.0,252987.0,373999.0,358050.0,358812.0,428377.0,,10.59,20.08,39.82,39.40,59.10,71.32,78.07,113.73,107.31,106.05,124.94,,,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",Change from TDMA to GSM platform caused decrease in the number of subscriptions.,"Batelco, Bahamas Telecommunications Corporation.",,Bahamas Telecommunications Company Ltd. (BTC),,Bahamas Telecommunications Company Ltd.
Bahrain,205727.0,299587.0,388990.0,443109.0,649764.0,767103.0,907433.0,1115979.0,1440782.0,1401974.0,1567000.0,,32.24,46.63,60.58,68.47,96.73,105.84,111.83,120.55,136.91,119.87,124.18,,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Africa & Middle East Telecom Week.,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA),,TRA.
Bangladesh,279000.0,520000.0,1075000.0,1365000.0,2781560.0,9000000.0,19130983.0,34370000.0,44640000.0,52430000.0,68650000.0,,0.22,0.39,0.80,1.00,2.01,6.40,13.44,23.88,30.68,35.66,46.17,,,Bangladesh Telegraph and Telephone Board.,,ITU estimate.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,December.,Bangladesh Telecommunication Regulatory Commission.,Active subscriptions.,Bangladesh Telecommunication Regulatory Commission.,September.,Bangladesh Telecommunication Regulatory Commission.,,BTRC 
Barbados,28467.0,53111.0,97193.0,140000.0,200138.0,206190.0,237119.0,257596.0,288662.0,337061.0,350061.0,,10.64,19.80,36.16,51.97,74.14,76.22,87.48,94.84,106.06,123.58,128.07,,,,,,,,,,,,,,,,,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,Prime Minister's Office Division of Energy & Telecommunications                
Belarus,49353.0,138329.0,462630.0,1118000.0,2239287.0,4099500.0,5960000.0,6960000.0,8128000.0,9686200.0,10332900.0,,0.49,1.38,4.64,11.27,22.68,41.72,60.96,71.54,83.96,100.52,107.69,,,Beltelecom.,,Beltelecom.,,Beltelecom.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,RCC.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization
Belgium,5629000.0,7697000.0,8101777.0,8605834.0,9131705.0,9604695.0,9847375.0,10738121.0,11341704.0,11775240.0,12154041.0,,55.32,75.38,79.01,83.53,88.17,92.23,94.01,101.89,106.98,110.45,113.46,,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,ITU estimate.,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,Institut belge des services postaux et des télécommunications (IBPT).,,IBPT,"Number of active clients (yearly reports mobile networkoperators, MVNO included) ",Belgian Institute for Postal Services and Telecommunications ,"Number of active clients (yearly reports mobile networkoperators, MVNO included)",Belgian Institute for Postal Services and Telecommunications ,"Number of active clients (yearly reports mobile networkoperators, MVNO included)",Belgian Institute for Postal Services and Telecommunications 
