,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Congo (Dem. Rep.),15000,150000,560000,1246225,1990722,2746094,4415470,6592000,9937622,9458557,11354706,,0.03,0.29,1.07,2.30,3.57,4.78,7.47,10.85,15.91,14.73,17.21,,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,Includes non-active subscriptions,Ministère des Postes et Télécommunications.,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,Includes non-active subscriptions,Autorité de Régulation de la Poste et des Télécommunications.,Includes non-active subscriptions,A.R.P.T.C.,Break in comparability since from 2009 on only active subscriptions are taken into consideration,A.R.P.T.C.,,Autorité de Régulation de la Poste et des Télécommunications
Cook Islands,552,942,1499,3384,3650,4004,5402,6617,6674,6952,7802,,3.10,5.23,8.19,18.10,19.13,20.64,27.48,33.32,33.34,34.49,38.46,,,Telecom Cook Islands Ltd.,Data refer to 31st December.,Telecom Cook Islands Ltd.,Pacific Islands Forum Secretariat. Pacific ICT Survey 2002.,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.
Costa Rica,211614,326944,502478,778299,923084,1101305,1443717,1508219,1886570,1950318,3035007,,5.40,8.17,12.31,18.71,21.79,25.56,32.95,33.87,41.72,42.48,65.14,,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Instituto Costarricense de Electricidad (ICE).,,Superintendencia de Telecomunicaciones
Côte d'Ivoire,472952,728545,1027058,1280696,1674332,2349439,4065421,7467708,10449036,13184308,14910000,,2.85,4.31,5.98,7.34,9.44,13.04,22.18,40.05,55.03,68.14,75.54,,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,,ATCI,,ITU estimate.
Croatia,1033000,1755000,2312600,2537300,2835500,3649700,4395200,5034582,5879850,6035070,6362106,,22.93,39.16,51.78,56.93,63.73,82.16,99.13,113.75,133.08,136.82,144.48,,,Croatian Post and Telecommunications (HPT).,,HPT estimate.,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM)
Cuba,6536,8579,17851,35356,75797,135534,152715,198252,331736,621156,1003015,,0.06,0.08,0.16,0.32,0.67,1.20,1.36,1.76,2.94,5.52,8.91,,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones.,,BMI.,,Ministerio de la Informática y las Comunicaciones.,,Ministerio de la Informática y las Comunicaciones,,Ministerio de la Informática y las Comunicaciones
Cyprus,218324,314355,417933,551752,658234,782503,867785,988312,1016739,977521,1034071,,23.14,32.69,42.65,55.28,64.80,75.78,82.78,92.97,94.40,89.64,93.70,,,,,,,,,,,,,,,,,Office of the Commissioner for Electronic Communications and Postal Regulation.,,Office of the Commissioner for Electronic Communications and Postal Regulation.,Incumbent's figures have been revised thus the difference from previous submission,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation 
Czech Republic,4346009,6947151,8610177,9708683,10782567,11775878,12406199,13228631,13780165,14258404,14331246,,42.43,67.94,84.33,95.19,105.69,115.22,120.93,128.26,132.79,136.58,136.58,,,,,,,,,,,,,,,,,Czech Telecommunication Office.,,Czech Telecommunication Office.,,Czech Telecommunication Office.,,Czech Telecommunication Office
D.P.R. Korea,0,0,0,0,0,0,0,0,0,69261,431919,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.77,,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,,Ministry of Posts and Telecommunications.,Sept. ,Koryolink.,,Koryolink.
Denmark,3363552,3960165,4477752,4767100,5166912,5449206,5828157,6308000,6556988,6831098,6904944,,62.99,73.94,83.38,88.53,95.68,100.55,107.08,115.34,119.28,123.64,124.41,,,,,,,,,,,,,,,,Includes mobile broadband subscriptions via data cards or USB modems.,National IT and Telecom Agency.,,National IT- and Telecom Agency NITA,,National IT- and Telecom Agency NITA,,National IT- and Telecom Agency NITA
Djibouti,230,3000,15000,23000,34482,44053,44817,69539,112848,128776,165613,,0.03,0.40,1.96,2.95,4.34,5.45,5.44,8.28,13.19,14.77,18.64,,,Office des Postes et Télécommunications (OPT).,,Office des Postes et Télécommunications (OPT).,,Djibouti Telecom S.A.,,,,,,,,,,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",,
Dominica,1200,7710,12173,23786,41838,52000,71500,89000,92000,95000,98149,,1.72,11.10,17.57,34.37,60.56,75.44,104.08,130.05,134.98,139.87,144.85,,,Telecommunications of Dominica Limited estimate.,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,National Telecommunications Regulatory Commission (NTRC).,,ITU estimate.,,ITU estimate.,Estimate (one provider has not yet provided data).,National Telecommunications Regulatory Commission
Dominican Rep.,705431,1270082,1700609,2091914,2534063,3623289,4605659,5512859,7210483,8629815,8892783,,8.21,14.55,19.19,23.26,27.76,39.11,49.01,57.84,74.60,88.09,89.58,,,,,,,,,,,,,,,,,INDOTEL,,INDOTEL,,INDOTEL,,Instituto Dominicano de las Telecomunicaciones (INDOTEL)
Ecuador,482213,859152,1560861,2398161,3544174,6246332,8485050,9939977,11684479,13241758,14780730,,3.91,6.84,12.23,18.46,26.83,46.52,62.21,71.77,83.12,92.85,102.18,,,,,,,,,,,,,,,,,SENATEL.,,SENATEL.,,SENATEL.,,Secretaría Nacional de Telecomunicaciones (SENATEL)
Egypt,1359900,2793800,4494700,5797530,7643060,13629602,18001106,30093673,41286662,55352233,70661005,,2.01,4.06,6.41,8.11,10.49,18.37,23.82,39.11,52.71,69.44,87.11,,June.,Telecom Egypt.,,Telecom Egypt.,,Telecom Egypt.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communcations and Information Technology,,Ministry of Communcations and Information Technology,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology
El Salvador,743628,857782,888818,1149790,1832579,2411753,3851611,6137381,6950703,7566245,7700336,,12.52,14.38,14.84,19.14,30.40,39.86,63.41,100.60,113.40,122.82,124.34,,,,,,,,,,,,,,,,,Superintendencia General de Electricidad y Telecomunicaciones,,Superintendencia General de Electricidad y Telecomunicaciones,,Superintendencia General de Electricidad y Telecomunicaciones,Estimate based on June 2010 data.,Superintendencia General de Electricidad y Telecomunicaciones
Equatorial Guinea,5000,15000,32000,41500,61900,96900,120000,150000,180000,200000,399290,,0.96,2.79,5.77,7.26,10.50,15.94,19.18,23.29,27.18,29.36,57.01,,,"Ministerio de Transportes, Información y Comunicaciones. Estimate.",,"Ministerio de Transportes, Información y Comunicaciones. Estimate.",,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale (GETESA).,,ITU estimate.,,ITU estimate.,,ITU estimate.,,ITU estimate based on Hits Telecom. ,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale
Eritrea,0,0,0,0,20000,40438,61996,84348,108631,141130,185275,,0.00,0.00,0.00,0.00,0.46,0.90,1.33,1.76,2.20,2.77,3.53,,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation (Eritel).,,Eritrea Telecommunication Services Corporation.,,Eritrea Telecommunication Services Corporation.,,Eritrea Telecommunication Services Corporation.,,EriTel
Estonia,557000,651200,881000,1050241,1255731,1445300,1658700,1681849,1624465,1570538,1652809,,40.63,47.78,64.94,77.68,93.12,107.39,123.41,125.24,121.03,117.06,123.24,,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Ministry of Economic Affairs and Communications.,,Estonian Competition Authority.,,Estonian Competition Authority.,,Estonian Competition Authority
Ethiopia,17757,27500,50369,51324,155534,410630,866700,1208498,1954527,4051703,6517292,,0.03,0.04,0.07,0.07,0.21,0.55,1.14,1.55,2.46,4.99,7.86,,,,,,,,,,,,,,,,,Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency.,,Ministry of Communication and InformationTechnology.
Falkland (Malvinas) Is.,0,0,0,0,0,766,2276,2979,2991,3256,3254,,0.00,0.00,0.00,0.00,0.00,25.90,76.71,100.00,99.93,108.32,107.86,,,Cable and Wireless PLC Ltd. (C&W).,,Cable and Wireless PLC Ltd. (C&W).,,Cable and Wireless PLC Ltd. (C&W).,,Cable and Wireless PLC Ltd. (C&W).,,Cable and Wireless PLC Ltd. (C&W).,GSM mobile was only launched on 12.12.2005.,Cable and Wireless PLC Ltd. (C&W).,,Cable and Wireless PLC Ltd. (C&W).,,Cable & Wireless South Atlantic Plc,,Cable & Wireless South Atlantic Plc,,Cable & Wireless South Atlantic Plc,,Cable & Wireless South Atlantic Ltd
Faroe Islands,16971,24487,34737,38026,41298,42032,49965,52169,54860,56993,59446,,37.10,52.82,74.00,80.10,86.19,87.10,103.07,107.41,112.89,117.21,122.05,,,,,,,,,,,,,,,,,Postal and Telecom Surveillance Authority.,,Postal and Telecom Surveillance Authority.,,Postal and Telecom Surveillance Authority.,,Post and Telecom Surveillance Authority
Fiji,55057,80933,89900,109882,142190,205000,284661,530048,600000,800000,1000000,,6.78,9.93,11.01,13.44,17.36,24.92,34.38,63.46,71.12,93.86,116.19,,Data refer to March of following year.,Telecom Fiji.,Data refer to March of following year.,Telecom Fiji.,Data refer to March of following year.,Telecom Fiji.,Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",Data refer to March of following year.,"Ministry of Information, Communications & Media Relations.",,ITU estimate.,,ITU estimate based on ATH Annual Report 2010. 
Finland,3728625,4175587,4516772,4747126,4988000,5270000,5670000,6080000,6830000,7700000,8390000,,72.07,80.53,86.91,91.11,95.44,100.49,107.67,114.92,128.47,144.15,156.40,,,,,,,,,,,,,,,,,Finnish Communications Regulatory Authority.,,Finnish Communications Regulatory Authority.,,Finnish Communications Regulatory Authority.,,Finnish Communications Regulatory Authority (FICORA)
France,29052360,36997400,38585300,41702000,44544000,48088000,51662000,55358100,57972000,59543000,62600000,,49.20,62.29,64.55,69.29,73.51,78.84,84.17,89.66,93.36,95.35,99.70,,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,Total number of active prepaid clients plus the total number of postpaid clients.,Autorité de Régulation des Communications Electroniques et des Postes (ARCEP).,,Autorité de Régulation des Communications électroniques et des postes
French Polynesia,39900,67300,52250,60100,96000,120000,152000,174847,187146,208261,215893,,16.79,27.87,21.33,24.20,38.15,47.08,58.89,66.90,70.74,77.80,79.73,,,,,,,,,,,,,,,,,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications.,,Service des Postes et Télécommunications
Gabon,120000,150000,279289,300000,489367,736690,897987,1169000,1300000,1373000,1610000,,9.71,11.87,21.64,22.77,36.41,53.74,64.27,82.11,89.64,92.93,106.94,,Includes inactive subscribers.,Office des postes et des télécommunications (OPT).,Includes inactive subscribers.,Office des postes et des télécommunications (OPT).,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,Gabon Telecom S.A.,Includes inactive subscribers.,ITU estimate.,,ITU estimate.,,Gabon Télécom
Gambia,5600,55085,100000,149300,175000,247478,404345,800371,1166136,1312874,1478347,,0.43,4.12,7.27,10.53,11.98,16.46,26.13,50.29,71.28,78.07,85.53,,,GAMTEL estimate.,,Gambia Telecommunications Co. Ltd (GAMTEL).,,Gambia Telecommunications Co. Ltd (GAMTEL).,,Gambia Telecommunications Co. Ltd (GAMTEL).,,Gambia Telecommunications Co. Ltd (GAMTEL).,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority.,,The Gambia Public Utilities Regulatory Authority,,The Gambia Public Utilities Regulatory Authority
Georgia,194741,301327,503619,711224,840645,1174308,1703888,2599714,2755087,2837000,3193012,,4.10,6.43,10.89,15.56,18.60,26.23,38.35,58.87,62.70,64.87,73.36,,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,Georgian National Communications Commission (GNCC).,,ITU estimate.,,Georgian National Communications Commission
Germany,48202000,56126000,59128000,64800000,71322000,79271000,85652000,96232925,105523065,105000000,104560000,,58.53,68.13,71.73,78.56,86.43,96.04,103.78,116.62,127.95,127.42,127.04,,,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",Including data services.,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",Excluding Data-only SIM cards.,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",Excluding Data-only SIM cards.,Bundesnetzagentur (BNetzA) / Federal Network Agency,Excluding Data-only SIM cards.,"Bundesnetzagentur (BNetzA, formerly Regulierungsbehörde für Telekommunikation und Post).",Excluding Data-only SIM cards.,Bundesnetzagentur (BNetzA) / Federal Network Agency
Ghana,130045,243797,386775,795529,1695000,2874560,5207242,7604053,11570430,15108916,17436949,,0.68,1.24,1.92,3.86,8.03,13.28,23.49,33.48,49.73,63.42,71.49,,,,,,,,,,,,,,,,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority (NCA).,,National Communications Authority
Gibraltar,5558,9797,12167,15900,18392,20000,22000,24000,26000,28600,30000,,20.32,35.48,43.47,55.97,63.88,68.79,75.25,81.92,88.78,97.75,102.59,,,Gibtelecom.,,Gibtelecom.,,Gibtelecom.,December.,Gibtelecom.,,Gibtelecom.,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,Gibtelecom.,,ITU estimate.
Greece,5932403,7963742,9314260,8936202,9324335,10260396,10979826,12294912,13799340,13295093,12292716,,54.00,72.19,84.11,80.43,83.65,91.75,97.87,109.23,122.21,117.38,108.22,,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,Incl. inactive subscribers.,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission (EETT).,,Hellenic Telecommunications & Post Commission
Greenland,15114,15882,19924,29749,39033,46480,53900,66400,55816,53468,57349,,26.90,28.16,35.19,52.33,68.43,81.27,94.10,115.85,97.38,93.31,100.09,,,,,,,,,,,,,,,,,TELE Greenland,,TELE Greenland,,TELE Greenland,,Tele Greenland A/S
Grenada,4300,6414,7553,42293,43313,46858,46193,51381,60022,114424,121946,,4.24,6.30,7.41,41.38,42.28,45.61,44.83,49.71,57.87,109.92,116.71,,,,,,,,,,,,,,,Cable and Wireless (WI).,,Cable and Wireless (WI).,,Cable and Wireless (WI).,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission
Guam,27200,32600,70500,79800,98000,,,,,,,,17.53,20.69,43.98,48.92,59.07,,,,,,,,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,Guam Telephone Authority.,,,,,,,,,,,,
Guatemala,856831,1146441,1577085,2034776,3168256,4510067,7178745,11897563,14948640,17307459,18067970,,7.63,9.96,13.36,16.82,25.54,35.46,55.07,89.06,109.19,123.33,125.57,,,,,,,,,,,,,,,,,Superintedencia de Telecomunicaciones,,,,,,Superintendencia de Telecomunicaciones (SIT)
Guernsey,21885,31539,36580,41530,43824,,,,,,,,34.90,56.10,65.32,74.43,78.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,42112,55670,90772,111500,154900,189000,,2000000,2750000,3489000,4000000,,0.50,0.66,1.05,1.28,1.74,2.09,,21.34,28.77,35.74,40.07,,,Société des Télécommunications de Guinée (SOTELGUI).,,Société des Télécommunications de Guinée (SOTELGUI).,,Société des Télécommunications de Guinée (SOTELGUI).,,Société des Télécommunications de Guinée (SOTELGUI).,,Société des Télécommunications de Guinée (SOTELGUI).,,Société des Télécommunications de Guinée (SOTELGUI).,,,,Société des Télécommunications de Guinée (SOTELGUI).,,ITU estimate. ,,Telegeography.,,Ministère de la Communication et des Nouvelles Technologies de l'Information
Guinea-Bissau,0,0,0,1275,39451,98825,157330,296223,500156,560345,594100,,0.00,0.00,0.00,0.10,2.94,7.23,11.27,20.80,34.40,37.76,39.21,,,,,,,,,,,,,,,,,Instituto das Comunicações da Guiné-Bissau,,Instituto das Comunicações da Guiné-Bissau,,Instituto das Comunicações da Guiné-Bissau,,ITU estimate.
Guyana,39830,75320,79400,137955,171656,281368,400000,538774,447769,513533,555397,,5.43,10.24,10.76,18.62,23.08,37.71,53.45,71.83,59.58,68.20,73.61,,,National Frequency Management Unit.,,National Frequency Management Unit.,,National Frequency Management Unit.,,National Frequency Management Unit.,,National Frequency Management Unit.,,National Frequency Management Unit.,,ITU estimate. ,,National Frequency Management Unit.,,National Frequency Management Unit,,National Frequency Management Unit,,National Frequency Management Unit
Haiti,55000,91500,140000,320000,400000,500200,1200000,2500000,3200000,3648000,4000000,,0.64,1.04,1.57,3.53,4.34,5.35,12.66,26.02,32.87,36.98,40.03,,,Conseil National des Télécommunications (CONATEL).,,Conseil National des Télécommunications (CONATEL).,,Conseil National des Télécommunications (CONATEL).,,Conseil National des Télécommunications (CONATEL).,,Conseil National des Télécommunications (CONATEL).,,ITU estimate.,,Conseil National des Télécommunications (CONATEL).,,Conseil National des Télécommunications (CONATEL).,,ITU estimate.,,ITU estimate.,,Conseil National des Télécommunications (CONATEL).
Honduras,155271,237629,326508,379362,707201,1281462,2240756,4184834,6210711,8390755,9505071,,2.50,3.74,5.04,5.74,10.49,18.63,31.93,58.46,85.05,112.63,125.06,,,Empresa Hondureña de Telecomunicaciones (HONDUTEL).,,Empresa Hondureña de Telecomunicaciones (HONDUTEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,Comisión Nacional de Telecomunicaciones (CONATEL).,,CONATEL,,Comisión Nacional de Telecomunicaciones (CONATEL)
"Hong Kong, China",5447346,5776360,6395725,7349202,8213959,8544255,9444140,10751622,11580149,12597171,13416011,,80.31,84.59,93.55,107.72,120.66,125.47,138.21,156.44,167.19,180.27,190.21,,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,November.,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority (OFTA).,,Office of the Telecommunications Authority,,Office of the Telecommunications Authority
Hungary,3076279,4967430,6886111,7944586,8727188,9320000,9965720,11029930,12224163,11792475,12011823,,30.13,48.77,67.78,78.39,86.32,92.40,99.02,109.83,121.97,117.90,120.32,,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,November.,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Communications Authority.,,National Media and Infocommunications Authority
Iceland,214896,248131,260438,279670,290068,283108,301922,326098,336922,339715,348065,,76.42,87.37,90.81,96.53,99.00,95.41,100.30,106.67,108.45,107.66,108.72,,,Iceland Telecom Ltd.,,Iceland Telecom Ltd.,,ITU estimate.,,Iceland Telecom Ltd.,,Post and Telecom Administration.,,Post and Telecom Administration.,,Post and Telecom Administration.,,Post and Telecom Administration.,Including NMT,,Including NMT,,NMT was closed as of 1st of september 2010,Post and Telecom Administration
India,3577095,6540000,13000000,33690000,52220000,90140000,166050000,233620000,346890000,525090000,752190000,,0.34,0.61,1.19,3.05,4.65,7.91,14.35,19.90,29.13,43.48,61.42,,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,December.,Department of Telecommunications (DOT). Ministry of Communications and Information Technology.,December.,TRAI.,December.,TRAI.,December.,TRAI.
Indonesia,3669327,6520947,11700000,18495251,30336607,46909972,63803015,93386881,140578243,159247639,220000000,,1.72,3.02,5.34,8.34,13.51,20.64,27.75,40.17,59.83,67.08,91.72,,,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",Sept.,"Directorate General of Posts and Telecommunications (POSTEL), PT Indosat, PT Telekom.",,Ministry of Communications and Information Technology,,ITU estimate.
Iran (I.R.),962595,2087353,2279143,3449876,5075678,8510513,15385289,29770000,43000000,52555000,67500000,,1.47,3.15,3.39,5.07,7.37,12.20,21.80,41.67,59.48,71.86,91.25,,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Ministry of Information and Communications Technology.,,Communications Regulatory Authority (CRA).,,Communications Regulatory Authority (CRA).,October.,Communications Regulatory Authority (CRA).,,Communications Regulatory Authority (CRA).,,Communications Regulatory Authority (CRA).,,Communications Regulatory Authority (CRA).,,ITU estimate.,,ITU estimate.
Iraq,0,0,20000,80000,574000,1533000,9345371,14021232,17529000,19722000,24000000,,0.00,0.00,0.08,0.31,2.16,5.60,33.21,48.41,58.78,64.19,75.78,,,Ministry of Planning & Cooperation Development.,,Ministry of Planning & Cooperation Development.,Madar Research.,Ministry of Planning & Cooperation Development.,,Ministry of Planning & Cooperation Development.,,Ministry of Planning & Cooperation Development.,,Source MTC Annual Report;.,,Africa& Middle East Telecom Week.,,Iraqi Telecommunications and Post Company,,Iraqi Telecommunications and Post Company,,ITU estimate.,,Ministry of Communications
