,Mobile cellular subscriptions,,,,,,,,,,,,Mobile cellular subscriptions per 100 inhabitants,,,,,,,,,,,,Metadata for mobile cellular subscriptions,,,,,,,,,,,,,,,,,,,,,
Armenia,17486,25504,71349,114379,203309,318044,1259762,1876411,2336000,2620000,3865355,,0.57,0.83,2.33,3.74,6.64,10.37,41.04,61.04,75.87,84.93,125.01,,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,RCC.,,RCC.,,ITU estimate.,,ITU estimate. ,,Ministry of Transport and Communication. 
Aruba,15000,53000,61800,69952,98389,103417,109030,113586,120806,128000,131800,,16.62,57.38,65.33,72.21,99.34,102.40,106.15,108.98,114.48,120.06,122.62,,,,,,,,,,,,,,,,,Servicio di Telecomunicacion di Aruba (SETAR).,,Servicio di Telecomunicacion di Aruba (SETAR).,,ITU estimate.,,ITU estimate.
Australia,8562000,11132000,12670000,14347000,16480000,18420000,19760000,21260000,22120000,22200000,22500000,,44.68,57.43,64.63,72.31,81.97,90.28,95.26,100.66,102.82,101.36,101.04,,,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,"Australian Department of Broadband, Communications and the Digital Economy (DBCDE).",,ACMA.,,ACMA.,,ACMA.,,ACMA.,Includes subscriptions by data cards or USB modems,ACMA,,ACMA,,ACMA
Austria,6117000,6541000,6736000,7274000,7992000,8665000,9281000,9912000,10816000,11434000,12241000,,76.42,81.37,83.33,89.42,97.64,105.26,112.18,119.28,129.66,136.61,145.84,,,Federal Ministry for Science and Transport.,,Federal Ministry for Science and Transport.,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,September.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,Includes subscribers to public mobile data services.,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,Includes subscribers to public mobile data services.,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Rundfunk und Telekom Regulierungs-GmbH
Azerbaijan,420400,730000,794200,1057100,1456523,2242000,3323500,4519000,6548000,7757120,9100000,,5.18,8.91,9.59,12.62,17.18,26.11,38.19,51.23,73.21,85.56,99.04,,,,,,,,,,,,,,,,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies
Bahamas,31524,60555,121759,122228,186007,227771,252987,373999,358050,358812,428377,,10.59,20.08,39.82,39.40,59.10,71.32,78.07,113.73,107.31,106.05,124.94,,,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",Change from TDMA to GSM platform caused decrease in the number of subscriptions.,"Batelco, Bahamas Telecommunications Corporation.",,Bahamas Telecommunications Company Ltd. (BTC),,Bahamas Telecommunications Company Ltd.
Bahrain,205727,299587,388990,443109,649764,767103,907433,1115979,1440782,1401974,1567000,,32.24,46.63,60.58,68.47,96.73,105.84,111.83,120.55,136.91,119.87,124.18,,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Africa & Middle East Telecom Week.,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA),,TRA.
Bangladesh,279000,520000,1075000,1365000,2781560,9000000,19130983,34370000,44640000,52430000,68650000,,0.22,0.39,0.80,1.00,2.01,6.40,13.44,23.88,30.68,35.66,46.17,,,Bangladesh Telegraph and Telephone Board.,,ITU estimate.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,,Bangladesh Telecommunication Regulatory Commission.,December.,Bangladesh Telecommunication Regulatory Commission.,Active subscriptions.,Bangladesh Telecommunication Regulatory Commission.,September.,Bangladesh Telecommunication Regulatory Commission.,,BTRC 
Barbados,28467,53111,97193,140000,200138,206190,237119,257596,288662,337061,350061,,10.64,19.80,36.16,51.97,74.14,76.22,87.48,94.84,106.06,123.58,128.07,,,,,,,,,,,,,,,,,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,Prime Minister's Office Division of Energy & Telecommunications                
Belarus,49353,138329,462630,1118000,2239287,4099500,5960000,6960000,8128000,9686200,10332900,,0.49,1.38,4.64,11.27,22.68,41.72,60.96,71.54,83.96,100.52,107.69,,,Beltelecom.,,Beltelecom.,,Beltelecom.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization.,,RCC.,,Ministry of Communications and Informatization.,,Ministry of Communications and Informatization
